movie_id,genre_id
1292052,1
1292052,2
1291546,2
1291546,3
1291546,4
1292720,2
1292720,3
1295644,2
1295644,5
1295644,1
1292063,2
1292063,6
1292063,3
1292722,2
1292722,3
1292722,7
1291561,2
1291561,8
1291561,9
1295124,2
1295124,10
1295124,11
3541415,2
3541415,12
3541415,13
3011091,2
1292001,2
1292001,14
1292064,2
1292064,12
3793023,2
3793023,6
3793023,3
2131459,12
2131459,8
2131459,15
1291549,2
1291549,14
1889243,2
1889243,12
1889243,15
1292213,6
1292213,3
1292213,9
5912992,2
25662329,6
25662329,8
25662329,15
1307914,2
1307914,1
1307914,13
1291560,8
1291560,9
1291560,15
1291841,2
1291841,1
1849031,2
1849031,16
1849031,17
3319755,2
3319755,6
3319755,3
6786002,2
6786002,6
1851857,2
1851857,5
1851857,12
1296141,2
1296141,1
1296141,13
1292365,2
1292365,10
1292365,17
1300267,2
1300267,10
1300267,3
20495023,6
20495023,8
20495023,9
1293172,2
1293172,16
1293172,10
26387939,2
26387939,16
26387939,18
1291552,2
1291552,5
1291552,9
1929463,2
1929463,9
1929463,15
30170448,2
2129039,2
2129039,6
2129039,8
1293182,2
1291858,2
1291858,10
1291858,11
1291583,8
1291583,9
1291583,15
1299398,6
1299398,3
1299398,9
1308807,8
1308807,9
1308807,15
21937452,2
1291828,2
1291828,3
1293839,6
1293839,2
1293839,3
1298624,2
21937445,2
1295038,9
1295038,15
1292000,2
1292000,5
1292000,13
26752088,2
26752088,6
1291548,2
1299131,2
1299131,1
1291572,2
1291572,5
1291572,9
1301753,8
1301753,15
1301753,19
1900841,2
1900841,13
1418019,8
1418019,9
1291571,2
1291571,5
1291571,9
1293350,2
1293350,6
1293350,1
1306029,16
1306029,2
1291818,2
1291818,17
1292224,2
1305487,16
1305487,1
1305487,2
1291843,5
1291843,12
1296736,2
1296736,16
1296736,10
1309046,2
1309046,5
1309046,12
1485260,2
1485260,3
1485260,9
26580232,2
26580232,1
26580232,13
3742360,2
3742360,6
3742360,5
1292402,2
1292402,11
1292402,20
1303021,2
1303021,21
1303021,17
3442220,22
1292849,2
1292849,10
1292849,11
1292220,2
1292220,3
3008247,2
3008247,11
1294408,2
1294408,16
1294408,3
1292262,1
1292262,2
27060077,2
27060077,6
27060077,16
1780330,2
1780330,13
1780330,23
25958717,2
25958717,15
25958717,17
1291832,2
1291832,6
1291832,1
1292223,2
1292223,1
1292223,13
1293544,2
1293544,1
1293544,23
1292343,2
1292343,13
1292343,12
1292679,2
1292679,3
1292679,4
2334904,2
2334904,13
2334904,23
1787291,2
1787291,19
1292656,2
11525673,2
11525673,6
11525673,15
1652587,5
1652587,12
1652587,15
1292370,2
1292370,9
1292370,3
1294639,5
1294639,16
1294639,2
1294371,2
1294371,6
1294371,3
1292215,6
1292215,3
1302425,6
1302425,2
1302425,3
1298070,5
1298070,15
1298070,9
1297192,2
1297192,13
1297192,23
1418834,2
1418834,3
1418834,4
1300299,2
1300299,5
1300299,1
6985810,2
1297359,8
1297359,9
1297359,15
26799731,2
26799731,3
26799731,4
3011235,9
3011235,15
1291875,2
1291875,3
2149806,2
1291999,2
1291999,3
1297630,2
1297630,13
1297630,23
25814705,2
10777687,2
10777687,6
10777687,17
21318488,2
21318488,1
21318488,13
1865703,8
1865703,13
1865703,12
1296339,2
1296339,3
