movie_id,platform_id,need_pay,sample_link
1292213,6,False,http://www.1905.com/vod/play/85526.shtml?__hz=6e0721b2c6977135
25662329,8,False,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=656781896&pwId=d01197d3076b4164af82983c408bb996
25662329,1,True,http://v.qq.com/x/cover/fhe2h7sop52qzza.html?ptag=douban.movie
25662329,5,True,http://www.mgtv.com/b/293403/3167500.html?cxid=94l62sj44
25662329,3,True,http://www.iqiyi.com/v_19rrlpltbg.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
25662329,2,True,http://v.youku.com/v_show/id_XMTU3MjI1MTk1Mg==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
25662329,6,True,http://vip.1905.com/play/1077284.shtml?__hz=6e0721b2c6977135
1307914,8,False,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=622793074&pwId=d01197d3076b4164af82983c408bb996
1307914,1,False,http://v.qq.com/x/cover/sg5p4qp1s6jbyj8.html?ptag=douban.movie
1307914,2,True,https://v.youku.com/v_show/id_XNTY0ODE0MzU2.html?spm=a2hbt.13141534.1_3.d_1_2&lang=粤语&s=c9baeb20c2e411df97c0
1307914,3,False,http://www.iqiyi.com/v_19rrjefg34.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1307914,4,False,https://www.bilibili.com/bangumi/play/ss32395?bsource=douban
1291560,3,True,http://www.iqiyi.com/v_19rr7r4y5g.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1291841,1,True,http://v.qq.com/x/cover/x90v161tdg3lrzl.html?ptag=douban.movie
1291841,3,True,http://www.iqiyi.com/v_19rrg3726w.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1291841,2,True,http://v.youku.com/v_show/id_XMTMzMDMxMTI2OA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1291841,4,False,https://www.bilibili.com/bangumi/play/ss26416?bsource=douban
1291841,6,True,http://vip.1905.com/play/1409303.shtml?__hz=6e0721b2c6977135
1849031,2,True,http://v.youku.com/v_show/id_XNDM4NTc3OTM2.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1849031,3,True,http://www.iqiyi.com/v_19rrk3nlys.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1849031,1,True,http://v.qq.com/x/cover/vbr7hkoebjpsrxb.html?ptag=douban.movie
3319755,8,True,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=655294757&pwId=d01197d3076b4164af82983c408bb996
3319755,1,True,http://v.qq.com/x/cover/997m2fipgc6erv7.html?ptag=douban.movie
3319755,3,True,http://www.iqiyi.com/v_19rra10k7w.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
3319755,2,True,http://v.youku.com/v_show/id_XNDAxNzI5MDE0MA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
