movie_id,score,rating_count,star_1_count,star_2_count,star_3_count,star_4_count,star_5_count,collect_count,wish_count,comments_count,reviews_count
1304079,0.0,212.0,0.0,0.0,0.0,0.0,0.0,211,41,2,0
1308170,6.4,89.0,3.0,5.0,36.0,10.0,7.0,124,46,25,1
1471660,7.6,129.0,1.0,2.0,25.0,46.0,15.0,205,696,44,1
26756181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0
4060760,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6,27,0,0
1963885,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,13,0,0
25975352,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4,4,1,0
1427865,7.7,1056.0,2.0,15.0,215.0,414.0,119.0,1444,3100,293,6
5098721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
10736329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0
5132714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,10,0,0
5132688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
26756189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0
5132667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
26755851,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0
5057084,0.0,13.0,0.0,0.0,0.0,0.0,0.0,28,16,4,0
25975036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0
1301651,6.5,78.0,0.0,4.0,34.0,15.0,2.0,112,258,26,0
26258212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,6,1,1
1301650,6.8,44.0,0.0,5.0,12.0,13.0,3.0,71,167,18,0
1308203,6.7,292.0,8.0,22.0,93.0,56.0,24.0,429,319,78,3
1819973,0.0,38.0,0.0,0.0,0.0,0.0,0.0,50,29,11,0
1301652,6.4,66.0,0.0,5.0,34.0,10.0,3.0,91,210,16,1
4105875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,17,0,0
3041723,0.0,27.0,0.0,0.0,0.0,0.0,0.0,32,16,8,1
33436590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5212142,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3,13,0,0
2262276,7.1,137.0,4.0,9.0,32.0,45.0,14.0,188,640,40,0
26754682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,8,0,0
5057095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0
5132989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
3002632,0.0,25.0,0.0,0.0,0.0,0.0,0.0,32,223,9,1
3391888,0.0,17.0,0.0,0.0,0.0,0.0,0.0,28,28,8,0
1293192,7.6,1430.0,7.0,18.0,207.0,370.0,128.0,1644,2105,291,7
1294016,0.0,80.0,0.0,0.0,0.0,0.0,0.0,85,218,6,0
5057016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0
2344266,6.4,59.0,2.0,5.0,19.0,6.0,5.0,86,55,14,1
5026617,0.0,25.0,0.0,0.0,0.0,0.0,0.0,31,22,10,0
5057011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5132388,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0
1308564,7.4,200.0,1.0,8.0,58.0,48.0,33.0,279,276,27,0
1293413,7.1,262.0,1.0,1.0,30.0,27.0,5.0,286,370,23,0
5057004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5057687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5132353,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0
5132371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0
4051682,0.0,9.0,0.0,0.0,0.0,0.0,0.0,14,64,5,0
3191603,7.9,39.0,1.0,0.0,5.0,10.0,7.0,84,894,5,0
10748039,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,64,2,0
6224437,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6,2,2,0
4820688,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10,40,5,0
3546546,0.0,17.0,0.0,0.0,0.0,0.0,0.0,22,49,6,0
3387573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
20453177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2053748,5.8,194.0,12.0,25.0,66.0,25.0,5.0,314,749,47,1
5057040,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
5057022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1295951,7.8,71.0,0.0,2.0,13.0,24.0,11.0,112,604,19,1
1294066,6.9,198.0,0.0,5.0,21.0,17.0,5.0,219,288,16,1
2253619,7.3,129.0,2.0,3.0,39.0,39.0,16.0,193,755,37,1
5057023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3364768,0.0,20.0,0.0,0.0,0.0,0.0,0.0,26,49,6,0
5098524,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4,10,2,0
2139050,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5,24,3,0
3359023,0.0,6.0,0.0,0.0,0.0,0.0,0.0,13,35,3,0
5132689,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0
5057024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
5238590,0.0,26.0,0.0,0.0,0.0,0.0,0.0,36,28,8,1
30283277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
2133088,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10,34,2,0
4217729,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,6,0,0
5091949,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1303719,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4,3,1,0
6097369,0.0,33.0,0.0,0.0,0.0,0.0,0.0,42,42,14,2
30231965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0
5057244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5101310,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5,7,1,0
3840864,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8,14,2,0
2133658,0.0,318.0,0.0,0.0,0.0,0.0,0.0,311,15,0,0
3862691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0,0
2133624,0.0,304.0,0.0,0.0,0.0,0.0,0.0,296,17,1,0
2031575,0.0,16.0,0.0,0.0,0.0,0.0,0.0,32,369,3,1
4218792,0.0,23.0,0.0,0.0,0.0,0.0,0.0,30,23,5,0
4906758,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12,14,5,0
2133892,0.0,335.0,0.0,0.0,0.0,0.0,0.0,327,14,1,0
4906759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
